City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Lavrentiya,RU,65.58,-171.0,39.49,75,59,4.76,broken clouds
328,Palauig,PH,15.44,119.9,82.62,78,88,6.82,overcast clouds
329,Sangar,RU,63.92,127.47,43.14,74,0,1.63,clear sky
330,Teahupoo,PF,-17.83,-149.27,71.6,73,20,2.24,few clouds
331,Akalkot,IN,17.53,76.22,84.94,67,98,8.88,very heavy rain
332,Udachnyy,RU,66.42,112.4,48.2,61,75,6.71,broken clouds
333,San Quintin,MX,30.48,-115.95,72.5,77,77,3.13,broken clouds
334,Georgetown,MY,5.41,100.34,84.2,94,40,3.36,scattered clouds
335,Coffs Harbour,AU,-30.3,153.13,60.8,87,90,14.99,light intensity shower rain
336,College,US,64.86,-147.8,48.2,87,90,4.12,light rain
337,Fortuna,US,40.6,-124.16,57.2,76,90,6.93,overcast clouds
338,Zonguldak,TR,41.25,31.83,64.51,87,10,3.2,clear sky
339,Launceston,AU,-41.45,147.17,44.6,75,40,0.67,scattered clouds
340,Moose Factory,CA,51.26,-80.61,48.2,93,90,2.24,overcast clouds
341,Matamoros,MX,25.53,-103.25,78.01,62,35,1.99,scattered clouds
342,Athens,GR,37.98,23.72,86.0,42,0,11.01,clear sky
343,Iralaya,HN,15.0,-83.23,82.4,83,20,5.5,few clouds
344,Hattiesburg,US,31.33,-89.29,84.0,74,1,6.93,clear sky
345,Cozumel,MX,20.51,-86.95,84.0,76,15,1.99,few clouds
346,Sevierville,US,35.87,-83.56,77.0,64,1,2.71,clear sky
347,Charagua,BO,-19.8,-63.22,78.8,44,100,6.93,overcast clouds
348,Katsuura,JP,35.13,140.3,79.0,88,75,13.87,broken clouds
349,Egvekinot,RU,66.32,-179.17,36.72,91,55,3.29,broken clouds
350,Votkinsk,RU,57.05,53.99,57.0,74,100,3.0,light rain
351,Dhidhdhoo,MV,6.88,73.1,82.6,80,100,19.15,overcast clouds
352,Muyezerskiy,RU,63.93,31.65,52.72,70,57,4.29,broken clouds
353,Camargo,MX,27.67,-105.17,77.9,45,3,4.97,clear sky
354,Deer Lake,CA,49.17,-57.43,69.01,40,20,12.75,few clouds
355,Plaridel,PH,14.89,120.86,82.99,88,20,3.36,few clouds
356,Beringovskiy,RU,63.05,179.32,44.92,84,100,7.29,overcast clouds
357,Akdepe,TM,42.06,59.38,80.6,22,0,6.93,clear sky
358,Jimo,CN,36.39,120.46,75.99,69,4,6.71,light rain
359,Rio Gallegos,AR,-51.62,-69.22,46.4,53,0,20.8,clear sky
360,Bambanglipuro,ID,-7.95,110.28,75.63,89,6,4.12,clear sky
361,Port Hawkesbury,CA,45.62,-61.35,79.0,64,1,4.7,clear sky
362,Vila Velha,BR,-20.33,-40.29,82.4,58,40,12.75,scattered clouds
